names,scores,logfoldchanges,pvals,pvals_adj
ATP6V0B,14.974366,1.2138824,1.0799306231661126e-50,1.0375188023290434e-48
TOP1,14.971356,1.271475,1.129928892743207e-50,1.0816203386331711e-48
STOML2,14.959888,1.2362318,1.3425151836900946e-50,1.2804783809780614e-48
SEM1,14.9572525,1.0615978,1.3967468339364775e-50,1.3274119191583359e-48
AC068724.1,-14.942574,-0.50815684,1.7411868998922593e-50,1.648822863625573e-48
TIMM13,14.939406,1.2400739,1.825952636900001e-50,1.722916738103501e-48
NUTF2,14.922097,1.2136973,2.367145364111725e-50,2.225622082556291e-48
RBX1,14.921779,0.95358056,2.378492018692377e-50,2.2283602529734965e-48
TMSB4X,-14.909439,-0.5663198,2.861464853837785e-50,2.6713746091305397e-48
TFRC,14.893521,1.8160945,3.631295582460243e-50,3.378127791852099e-48
CALM1,14.883485,0.8644395,4.219398675073428e-50,3.911456596331227e-48
COX7B,14.853856,0.9057291,6.567909200133228e-50,6.067278359004192e-48
TPI1,14.849008,0.77649516,7.060614199933338e-50,6.499701294851525e-48
PSMD14,14.816431,1.4606104,1.1472044857917615e-49,1.0524007817575812e-47
NDUFC2,14.8085,1.0605472,1.2908785176501802e-49,1.1801041673466353e-47
SPPL2A,14.785759,1.2692021,1.8100427662981456e-49,1.649011375365414e-47
RPL18,-14.7586,-0.20725401,2.7084301582181247e-49,2.45899397869838e-47
ARHGDIA,14.756312,0.9771045,2.8018688569432383e-49,2.5351155890561764e-47
TOMM22,14.755114,1.0982155,2.8520923355854858e-49,2.571750153794148e-47
SAT1,14.749558,1.0701367,3.0968622696066828e-49,2.782962624592128e-47
LDHA,14.736831,0.74873936,3.739250580879185e-49,3.3488474693840024e-47
PPP1CA,14.735882,1.0023816,3.792124984764569e-49,3.3847277735635107e-47
RNF19A,14.71507,1.4098655,5.159305478868615e-49,4.58952359433363e-47
PMF1,14.692475,1.1936783,7.203381764464152e-49,6.386353899904124e-47
EBNA1BP2,14.625818,1.4912052,1.922463359667204e-48,1.6987117713179775e-46
PPM1G,14.621799,1.2070464,2.0393708489765378e-48,1.7960059276653377e-46
NOP16,14.62075,1.4482853,2.0710417259008693e-48,1.817837953431926e-46
HLA-B,14.612778,0.39474413,2.328291624760926e-48,2.0368696929199888e-46
ICOS,14.5921,1.2729208,3.153393807113845e-48,2.7495928839586727e-46
ARF1,14.578142,0.94184446,3.8690086142043137e-48,3.3624739337920385e-46
HLA-A,14.563219,0.50092274,4.81364242204543e-48,4.169719107883287e-46
LGALS3,14.559158,2.4625962,5.108308334423192e-48,4.4105067384137496e-46
DCTPP1,14.557877,1.3379513,5.204993379312424e-48,4.479346093857793e-46
UBE2N,14.534149,1.0266935,7.362272721351739e-48,6.315300172016654e-46
NDFIP2,14.529838,1.2573339,7.840603651973531e-48,6.703842993046624e-46
GADD45GIP1,14.506694,0.9640917,1.0989056189233693e-47,9.365511758695296e-46
PMAIP1,14.494243,1.4328259,1.317472915754327e-47,1.1192165412935471e-45
PFDN5,-14.491024,-0.37368143,1.3806989543419582e-47,1.1691687940293121e-45
NDUFB7,14.485726,1.027665,1.4913786076131355e-47,1.2588569588862314e-45
BST2,14.477981,1.0348705,1.6693083499347781e-47,1.4045581721425743e-45
NDUFA6,14.4763155,1.0849571,1.7102099262733575e-47,1.4344046429251464e-45
PPP1R14B,14.472757,1.4361621,1.8010413087935825e-47,1.505807322098938e-45
UBE2M,14.434231,1.8105863,3.151411428042061e-47,2.626507568734109e-45
SNRPF,14.422924,0.9619222,3.712761261794045e-47,3.0846274382578197e-45
FABP5,14.415152,1.5409635,4.155259092355998e-47,3.441440289029638e-45
ATP5J,14.390502,0.9383147,5.936356083786721e-47,4.9012039916764114e-45
SELENOK,14.359411,0.94303846,9.301434808155334e-47,7.65557344646305e-45
EPOP,14.344684,1.8686484,1.1502429616921938e-46,9.43770777885334e-45
BOLA3,14.343815,1.289352,1.1647242263158291e-46,9.5269393372335e-45
UBE2A,14.333362,1.269419,1.3540469285284742e-46,1.1041333287568607e-44
INSIG1,14.323434,1.813107,1.562101973567696e-46,1.2698687428202624e-44
MT-ND3,-14.323066,-0.3123231,1.5703953203287372e-46,1.2726946123645778e-44
BCL2L1,14.314383,1.4940047,1.7793706717538076e-46,1.4376444387686726e-44
BAK1,14.294597,1.5415174,2.3647321452126267e-46,1.904762904771878e-44
STRAP,14.287997,1.1104432,2.5998008947340695e-46,2.0877428461663866e-44
CCDC167,14.275652,1.3811358,3.1037146630536223e-46,2.481639429044427e-44
MRPL54,14.275531,1.1442511,3.1090940613690587e-46,2.481639429044427e-44
PSMD7,14.275172,1.1529932,3.1251591377510214e-46,2.486948928294638e-44
AC034236.1,-14.274896,-0.3227084,3.1375531769297692e-46,2.4893139619965315e-44
PIM2,14.263161,0.9267459,3.712530803389773e-46,2.9366785576514317e-44
UQCC2,14.248545,1.2536697,4.577200662069492e-46,3.609840044533611e-44
ARPP19,14.246467,1.2899603,4.715428121057518e-46,3.707786040426775e-44
NDUFA4,14.243943,0.8119764,4.8888858461395766e-46,3.832770446736131e-44
DDX39A,14.20364,1.1777596,8.697462897636223e-46,6.798431057856479e-44
LINC00513,14.198565,1.1941466,9.35087070077584e-46,7.287610734940935e-44
PSMC4,14.19266,1.2539548,1.0172505507609357e-45,7.904635162089388e-44
AL136454.1,-14.189096,-0.41167444,1.0702900917783156e-45,8.2923942008161585e-44
ENO1,14.184983,0.70229954,1.1349279578538534e-45,8.767484399561055e-44
ANXA7,14.176176,1.1144294,1.2866848234478592e-45,9.910849281484676e-44
RPS19,-14.167401,-0.20014602,1.4579648336071753e-45,1.1197508983692318e-43
NUP62,14.164617,1.4073349,1.5169334926566475e-45,1.1616632717677864e-43
CLTB,14.163843,1.2188544,1.533720336305322e-45,1.171124025583428e-43
