names,scores,logfoldchanges,pvals,pvals_adj
ATP5G3,17.391329,1.5651029,9.598319437974265e-68,1.3476815243157498e-65
ACTR3,17.38868,1.542609,1.0052504437633547e-67,1.4051516359229642e-65
CAP1,17.377384,1.5423245,1.2240933376499331e-67,1.7034482886736468e-65
LDHA,17.370571,1.6650009,1.3784614776537342e-67,1.909779085257348e-65
MRPL57,17.347452,1.5292628,2.0619020288061916e-67,2.8440623094251393e-65
UQCRFS1,17.341398,1.6126605,2.2909182730936795e-67,3.1460939495103598e-65
EIF4H,17.332806,1.7131345,2.6602768166898632e-67,3.637376742680188e-65
LCP1,17.331602,1.6680982,2.7165325176363268e-67,3.6981456373787404e-65
HUWE1,17.329699,2.2705555,2.8079533678064385e-67,3.8060531558176365e-65
PKM,17.328253,1.7023054,2.8794700309990015e-67,3.886167506060765e-65
SMS,17.31734,1.8930387,3.4807939132466944e-67,4.677559580157393e-65
TAPBP,17.310818,1.5165704,3.898371800008655e-67,5.216321343165427e-65
CAPZA1,17.305506,1.4794925,4.2751219642826604e-67,5.696099737176782e-65
HNRNPA1P48,17.302294,1.6664205,4.520277983033179e-67,5.997221352828469e-65
LYPLA1,17.2994,1.7882384,4.7530814888646514e-67,6.2794824682633375e-65
GLRX5,17.295973,1.750417,5.044415107863204e-67,6.636373169844739e-65
HNRNPC,17.29096,1.5261936,5.502793312984687e-67,7.209119724806005e-65
PSMB2,17.28942,1.5406573,5.651872421368188e-67,7.3735740577274715e-65
TNIP1,17.287806,1.6246353,5.812369477285567e-67,7.551497954493294e-65
HNRNPM,17.282042,1.4945718,6.423324651906633e-67,8.296755403392725e-65
BANF1,17.281902,1.5462183,6.438988096913008e-67,8.296755403392725e-65
FYN,17.27381,1.6372865,7.408703113010912e-67,9.507127179159206e-65
RPL7L1,17.271713,1.927325,7.682828448509962e-67,9.81865475719573e-65
ABRACL,17.270134,1.5118736,7.895896102277762e-67,1.0049935075545488e-64
EIF3A,17.244795,1.6316123,1.224485744516033e-66,1.5522215848802232e-64
NDUFA11,17.244211,1.4945089,1.2368959025332635e-66,1.561630951783025e-64
COX8A,17.229261,1.5429564,1.6018419952178393e-66,2.014268060733565e-64
ACP1,17.227892,1.5001376,1.6402012662123354e-66,2.0542536738549775e-64
CREM,17.218355,1.4795609,1.9340631514926e-66,2.4126474636009878e-64
ZNF593,17.212555,1.8276969,2.137898554153759e-66,2.6563389535360454e-64
UBE2D2,17.206406,1.5047822,2.377378361628787e-66,2.9422171494450177e-64
TRAF4,17.20194,2.2161255,2.56788091937524e-66,3.165469270336935e-64
SNHG3,17.200445,1.7071842,2.634989933523003e-66,3.235457639550539e-64
C12orf57,17.199303,1.4781922,2.6874626475832044e-66,3.2869977718155355e-64
LGALS3,17.190767,1.6208308,3.1138047238880156e-66,3.793631895317419e-64
C19orf70,17.17912,1.4711273,3.8064174778251996e-66,4.619485955356001e-64
HSPD1,17.175282,1.509489,4.0667631887548585e-66,4.916386957648779e-64
SFT2D1,17.158703,1.7558155,5.410902937987393e-66,6.516183918897049e-64
PSMC4,17.157887,1.6770704,5.48740917978433e-66,6.582998805679201e-64
SSBP1,17.156616,1.4989506,5.608747175479308e-66,6.702881023337122e-64
MRPL41,17.154314,1.5053786,5.835448906779694e-66,6.94729052167981e-64
PFDN2,17.148037,1.5104563,6.501088641199013e-66,7.710438880476602e-64
ELOC,17.146702,1.4952996,6.652192246453158e-66,7.859878921837541e-64
AURKAIP1,17.139774,1.5338638,7.494207922071075e-66,8.821471588269453e-64
PAK2,17.136505,1.6468372,7.927470906616144e-66,9.296518410376708e-64
MRPL20,17.136213,1.5166341,7.967291823500515e-66,9.308353518120322e-64
DBI,17.133163,1.5261352,8.396277469401848e-66,9.773079696819379e-64
SNF8,17.131428,1.4959226,8.650599472255713e-66,1.0031811854659209e-63
HEBP2,17.127245,1.7007027,9.295345615876782e-66,1.073972570401173e-63
CCT3,17.120148,1.4999927,1.0500727210461496e-65,1.2087804032601466e-63
HSPA5,17.104616,1.5908645,1.371031021921171e-65,1.57246711821882e-63
ASXL1,17.09894,2.0640996,1.5112658328926028e-65,1.7269797260474558e-63
SUB1,17.095982,1.6499302,1.5899391213741587e-65,1.8102757756125922e-63
PSAT1,17.094608,2.4585867,1.6278343963943122e-65,1.8467073473008082e-63
SNRPC,17.090601,1.474554,1.7436807772921227e-65,1.9709887659853306e-63
MRPL54,17.083986,1.6087661,1.9530733265679767e-65,2.199736652092443e-63
BOLA3,17.072617,1.774007,2.3731806633046723e-65,2.663321137947405e-63
TMEM147,17.062225,1.5280188,2.8354588897810892e-65,3.1707519034977033e-63
TOMM40,17.049492,1.9161936,3.5258929252596434e-65,3.9287983410250777e-63
PSMD4,17.043894,1.4321833,3.880173620750709e-65,4.308231072316505e-63
CLTA,17.043354,1.4755925,3.916092209175163e-65,4.332747814893411e-63
DDX39A,17.041176,1.5799503,4.0647132328416774e-65,4.4813463392079494e-63
C20orf24,17.029188,1.7341406,4.989088030587458e-65,5.481169660551716e-63
MANF,17.027878,1.5784849,5.102047435957158e-65,5.585671582771139e-63
TMCO1,17.021852,1.5312994,5.655183028869147e-65,6.169666753202853e-63
EWSR1,17.021343,1.5359551,5.704604825625465e-65,6.201975058859686e-63
TMED9,17.00105,1.4701095,8.066184371282903e-65,8.739110686824879e-63
BAX,16.997225,1.445524,8.610166958017789e-65,9.296308193879138e-63
PCBP1,16.99169,1.5018685,9.462399183314943e-65,1.0181346420232788e-62
DNAJA1,16.97486,1.4079183,1.2605664204458374e-64,1.3516984654308086e-62
PSMC5,16.968248,1.4427844,1.4107658680072318e-64,1.5075935185383765e-62
RNF145,16.967817,1.4243916,1.4211778913385716e-64,1.5135544542755787e-62
RNH1,16.952583,1.4403514,1.84177850762911e-64,1.9548449780466123e-62
KPNB1,16.94965,1.604712,1.936062182398969e-64,2.047974425442369e-62
